report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2011-03-15,443112,138311,82708,40254,79307,45513,13094,66972,171242,60711,30143,20900
2011-03-08,374887,149091,81796,11497,93488,37167,10828,41262,186676,19814,36949,17987
2011-03-01,370276,135182,79706,13982,96514,36636,13511,41652,186406,20316,36339,14291
2011-02-22,382543,151038,81870,7737,119555,36553,12687,34202,197838,22861,23006,16371
2011-02-15,366390,124979,69617,12297,118010,37412,12683,33413,190577,18294,34265,18512
2011-02-08,360747,124990,73396,9391,116566,36071,12614,35816,191665,12714,36341,19489
2011-02-01,374560,158487,69641,8045,97858,41604,13525,38467,207429,13167,34231,16298
2011-01-25,389604,160527,77122,6387,120478,43240,13764,33409,217334,10208,32731,15734
2011-01-18,383871,146461,75488,8011,130480,37952,10411,31998,213925,9066,31684,19931
2011-01-11,360629,132587,65966,7889,130273,37365,10492,30218,206884,8926,27105,17424
2011-01-04,364673,137936,65748,5240,123963,37578,10511,27941,214823,14011,32805,12531
2010-12-28,328233,126407,43617,4110,108839,37765,10242,27383,205218,11217,25810,11713
2010-12-21,338310,137653,42764,3875,105524,38031,11081,28979,212793,9923,26232,15329
2010-12-14,530082,142974,96138,30696,111475,56746,10741,97617,197493,82716,38874,39441
2010-12-07,421043,143233,80068,9651,110524,78579,11301,97821,186376,9302,28922,27359
2010-11-30,409275,145194,80075,13719,103865,80410,12957,93879,166561,8060,21382,28803
2010-11-23,419844,146885,98024,11492,110088,82482,14340,94410,175404,7488,25874,14893
2010-11-16,474400,183457,117575,11929,117961,82774,14433,92989,190238,6859,36872,34847
2010-11-09,445423,151866,103916,12592,131864,83384,11200,91380,194107,4428,31376,16748
2010-11-02,451733,168713,107030,8169,123288,86251,10777,84118,198514,5167,41551,17173
2010-10-26,461445,174501,105922,6360,117069,85653,11340,94336,210306,6543,41512,17928
2010-10-19,437927,154174,96517,9274,111696,85361,12861,94974,199704,4472,42317,14900
2010-10-12,451243,175539,105246,12680,106747,86946,14601,92887,194629,4914,36646,15213
2010-10-05,466689,203667,111680,9331,102346,89420,14961,82192,205889,4401,42126,14097
2010-09-28,419132,166906,92780,11589,99272,89164,14768,79097,174983,3596,35977,14257
2010-09-21,350670,99381,74967,7176,99150,87654,14890,85736,128013,5288,32221,16435
2010-09-14,479278,102198,126676,12062,88406,113345,17153,147213,70201,76321,28745,39480
2010-09-07,354963,81472,105710,7603,56972,116934,16457,164905,49289,3956,17164,31402
2010-08-31,362659,84892,104040,7062,54054,121266,16197,173144,54890,3548,16168,31335
2010-08-24,357470,89966,105094,7175,60031,117789,15759,154499,54232,3139,18863,31205
2010-08-17,353016,107324,90688,6456,59402,110689,16713,131536,73428,3085,19735,28582
2010-08-10,368417,114097,87945,5852,77064,105909,16675,121824,104403,3235,22882,23762
2010-08-03,353491,102528,78016,5201,74726,108122,16990,119412,98547,3416,24497,21894
2010-07-27,329340,73625,78893,7102,83094,101260,15201,120035,74468,3064,21152,26106
2010-07-20,319293,70743,76195,6539,78431,103275,17179,116593,59429,3531,20293,32686
2010-07-13,322249,66223,100185,5573,80742,100724,18027,119323,43668,3481,22036,32705
2010-07-06,312953,67509,79756,7227,74617,102057,17287,116069,63788,3219,21500,20127
2010-06-29,305163,77175,57779,5968,69051,95875,17560,101832,89023,3528,24716,22547
2010-06-22,294190,83426,58016,5063,62178,91618,17973,92638,85707,4955,21798,18232
2010-06-15,466719,96969,114399,18719,73421,109589,18243,72807,64617,98557,81767,20693
2010-06-08,377739,97670,122473,9559,72684,94075,15745,73360,72296,25862,78001,16528
2010-06-01,356067,97988,114612,10931,77054,71844,15273,54924,81812,21033,73825,19245
2010-05-25,359523,121711,104562,12699,74314,69107,17091,33688,97585,22277,72553,13802
2010-05-18,357302,117777,119076,15096,81719,59297,15943,25965,91625,14842,80239,17549
2010-05-11,360744,123165,118602,17125,79528,54959,16862,20110,96866,15745,82494,17203
2010-05-04,383478,148185,133273,14518,84907,49920,15506,54809,117041,12768,46379,17309
