report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2013-05-21,4086406,612396,1011758,665096,1536745,485152,221674,254824,1005564,135339,314702,285345
2013-05-14,4143289,661353,987643,760824,1455570,496628,219036,225350,944121,141805,333583,305746
2013-05-07,3888812,673783,946064,594220,1439018,518327,222176,208494,918892,127176,307845,303274
2013-04-30,3665537,670747,904339,492374,1423966,526481,222674,174303,896069,114359,303622,279758
2013-04-23,3579695,605014,902931,454590,1417969,545310,223334,180895,849682,98161,337142,270014
2013-04-16,3690208,591269,891072,554482,1468304,536378,221027,181199,870827,109293,298340,271962
2013-04-09,3646629,609014,913084,480224,1458124,577553,224042,200733,863667,97088,335329,285167
2013-04-02,3596835,578897,946201,466667,1451000,527232,231895,214966,833794,88577,323506,294420
2013-03-26,3526282,571036,914956,453713,1438415,529225,216973,216683,845709,86586,298636,274934
2013-03-19,3409146,566377,868054,436148,1389360,545537,216796,200711,801135,79414,278934,270903
2013-03-12,4481719,698332,999828,628240,1306322,535987,275807,298936,931375,511651,457805,352674
2013-03-05,3872287,674476,948367,500615,1288349,546016,262874,308494,897344,161337,419500,316712
2013-02-26,3801746,560491,938467,478025,1437135,581962,252090,299341,892608,135877,394712,276992
2013-02-19,3606627,578052,936745,382795,1450131,552648,241527,381965,884431,96331,257143,276878
2013-02-12,3625494,506435,903133,453541,1462840,554663,245657,358223,883530,67262,308601,292276
2013-02-05,3499407,496481,871845,430734,1493404,557020,230331,306111,865437,62584,255361,277915
2013-01-29,3486327,481991,909609,413273,1544360,528034,214360,311819,849952,60114,239573,291864
2013-01-22,3336948,511035,904079,341475,1484454,531005,211099,305742,793380,49910,235745,315416
2013-01-15,3310003,443224,842669,405926,1437897,543478,218013,257867,803441,51069,285141,243056
2013-01-08,3179223,440109,789050,345071,1431878,553803,208951,249353,836692,38649,261555,228603
2012-12-31,3114188,445602,750858,310918,1394977,589974,207720,216699,852742,37850,297183,190882
2012-12-24,3151807,419351,771270,328591,1427864,588736,202864,211008,846140,38356,320367,203936
2012-12-18,3878501,674000,786846,549108,1361967,614312,231617,222535,900800,303400,303138,262325
2012-12-11,3636789,632658,769867,429800,1331812,661293,218728,213167,893101,202663,372071,245463
2012-12-04,3527417,580223,789902,398559,1352622,667360,228226,203198,838020,140966,407593,248137
2012-11-27,3474008,572391,835392,372829,1389553,694750,221080,210616,789249,100194,397166,252439
2012-11-20,3456455,554909,823182,374025,1365940,699764,220814,218646,795140,103802,414386,249885
2012-11-13,3530917,590274,764305,495353,1361457,720304,233023,209017,801929,92780,335416,236788
2012-11-06,3379945,508246,773403,389410,1468314,657409,225846,216351,812589,85770,288888,243695
2012-10-30,3373460,485025,806255,348847,1552504,686675,212636,233211,815083,67139,284226,239383
2012-10-23,3342474,495785,817077,340816,1531266,681714,218494,234931,800025,66229,266732,238415
2012-10-16,3302628,487072,776564,364426,1497572,656110,218948,196809,799442,60179,282858,241796
2012-10-09,3255168,477122,796647,339761,1491010,666625,220962,209075,777544,55172,275498,228827
2012-10-02,3246836,500266,797685,322952,1504058,697178,224368,182904,728953,59746,281586,240452
2012-09-25,3152972,465063,740049,324170,1466095,673814,210866,164850,741082,46368,300982,237101
2012-09-18,4040698,539729,995487,503176,1486254,669371,230717,270205,670917,403614,364493,303477
2012-09-11,3575446,520242,1033905,392817,1386083,694379,218247,323059,618785,129465,399101,262312
2012-09-04,3429212,489183,1025270,346452,1389248,727258,210553,326435,575792,82766,390693,260188
2012-08-28,3383373,477940,1003526,337952,1414397,724817,203716,279187,576469,63937,410126,262886
2012-08-21,3300213,451973,958383,316272,1376896,702488,201526,278069,572289,61617,409369,272048
